captured,field_path,fingerprint_participation,outcome_link_participation,plan_identity_participation,required,serialization,stage_trace_participation
true,input_snapshot.recommendation_candidates[].selloff_volume_penalty,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].setup_type,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].strategy_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].support_level,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].swing_high,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].swing_low,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].symbol,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].trend_structure_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].two_day_prior_close,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].two_day_prior_high_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].two_day_prior_low_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].two_day_prior_open_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].volatility_expansion_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].volume_confirmation_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].volume_dry_up_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].volume_expansion_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.existing_symbols,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.existing_symbols[],false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.max_sector_exposure_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.max_single_position_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.sector_exposure,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.sector_exposure.CAPITAL GOODS,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.sector_exposure.DEFENCE,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.symbol_sector,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.symbol_sector.BEL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.symbol_sector.HAL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_portfolio_context.symbol_sector.LT,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sector_by_symbol,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sector_by_symbol.BEL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sector_by_symbol.HAL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sector_by_symbol.LT,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sectors,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sectors[],false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sectors[].breadth_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sectors[].return_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sectors[].sector,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.sectors[].turnover_change_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.average_turnover_value,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.delivery_change_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.delivery_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.observed_on,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.price_change_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.spread_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.symbol,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.turnover_value,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.volatility_percent,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.stock.volume_change_percent,false,false,false,true,CANONICAL_JSON,false
true,observed_on,false,false,false,true,CANONICAL_JSON,false
true,outcome_link_ids,false,true,false,true,CANONICAL_JSON,false
true,outcome_link_ids[],false,true,false,true,CANONICAL_JSON,false
true,outcome_links,false,true,false,true,CANONICAL_JSON,false
true,package_sha256,false,false,false,true,CANONICAL_JSON,false
true,policy_hash,false,false,false,true,CANONICAL_JSON,false
true,price_arms,false,false,false,true,CANONICAL_JSON,false
true,price_arms[],false,false,false,true,CANONICAL_JSON,false
true,recommendation_fingerprints,true,false,false,true,CANONICAL_JSON,false
true,recommendation_fingerprints[],true,false,false,true,CANONICAL_JSON,false
true,recommendation_object_ids,false,false,false,true,CANONICAL_JSON,false
true,recommendation_object_ids[],false,false,false,true,CANONICAL_JSON,false
true,recommendations,true,false,false,true,CANONICAL_JSON,false
true,recommendations[],true,false,false,true,CANONICAL_JSON,false
true,recommendations[].action,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].allocation,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].allocation.adjusted_allocation_percent,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].allocation.adjustment_points,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].allocation.base_allocation_percent,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].allocation.reasons,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].allocation.reasons[],true,false,false,true,CANONICAL_JSON,false
true,recommendations[].decision,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.confirmation,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.entry_trigger,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.explanation,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.invalidation_level,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.pattern,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.stop_level,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.volume_confirmed,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.candle_pattern.weight,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.confidence_score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.conflict_penalty_points,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.historical_expectancy,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.historical_expectancy.average_gain,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.historical_expectancy.average_hold_period_days,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.historical_expectancy.average_loss,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.historical_expectancy.expected_value,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.historical_expectancy.win_rate,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.override_reasons,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence.breakout_state,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence.close_strength,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence.price_score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence.retracement_state,true,false,false,true,CANONICAL_JSON,false
