candidate_arm_id,economic_candidate_id,invocation_count,observation_mode,result_code,result_state,stage_id,stage_invoked,stage_order
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,CANDIDATE_CONSTRUCTED,PASS,institutional_candidate_construction,true,2
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,PAYLOAD_HASH_BOUND,PASS,recorded_payload,true,8
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,RECOMMENDATION_GENERATED,PASS,recommendation,true,1
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,institutional_base_decision,true,3
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,terminal_institutional_decision,true,6
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,SKIP,FAIL,portfolio_allocation,true,7
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,UPSTREAM_DECISION_REJECTED,NOT_APPLICABLE,institutional_trade_plan_optimizer,true,5
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,BASE_DECISION_REJECTED,NOT_APPLICABLE,institutional_stress,true,4
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,CANDIDATE_CONSTRUCTED,PASS,institutional_candidate_construction,true,2
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,PAYLOAD_HASH_BOUND,PASS,recorded_payload,true,8
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,RECOMMENDATION_GENERATED,PASS,recommendation,true,1
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,institutional_base_decision,true,3
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,terminal_institutional_decision,true,6
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,SKIP,FAIL,portfolio_allocation,true,7
6ade68bf06ab6c20183d1a8496b6dbe49a958c5c14a3ad2ef161532427ad9cac,c48d4f07bc50c98a03a1229891c3c2fb83bc417b86ea1fbd3d92b58ba5b0a1b8,1,SIGNED_RECORDED_COMPLETE_STACK,UPSTREAM_DECISION_REJECTED,NOT_APPLICABLE,institutional_trade_plan_optimizer,true,5
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,BASE_DECISION_REJECTED,NOT_APPLICABLE,institutional_stress,true,4
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,CANDIDATE_CONSTRUCTED,PASS,institutional_candidate_construction,true,2
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,PAYLOAD_HASH_BOUND,PASS,recorded_payload,true,8
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,RECOMMENDATION_GENERATED,PASS,recommendation,true,1
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,institutional_base_decision,true,3
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,terminal_institutional_decision,true,6
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,SKIP,FAIL,portfolio_allocation,true,7
6ae1ccf94946d97f0c7d958d957122a9437565ec058a968920d303aed054cb99,c4d7fe9277b1288d071ca7a0a80a341d44ac86368852976fcf9ef7bc611127c6,1,SIGNED_RECORDED_COMPLETE_STACK,UPSTREAM_DECISION_REJECTED,NOT_APPLICABLE,institutional_trade_plan_optimizer,true,5
6afb766af01a9e5dff54c50f1f716e73ec4e8596da20940ff32ff09d625c4138,81e3bdc8e6ac9607d026ecdf24dbbd3da485b9b1d42f8e67a43c83e2a3e08944,1,SIGNED_RECORDED_COMPLETE_STACK,BASE_DECISION_REJECTED,NOT_APPLICABLE,institutional_stress,true,4
6afb766af01a9e5dff54c50f1f716e73ec4e8596da20940ff32ff09d625c4138,81e3bdc8e6ac9607d026ecdf24dbbd3da485b9b1d42f8e67a43c83e2a3e08944,1,SIGNED_RECORDED_COMPLETE_STACK,CANDIDATE_CONSTRUCTED,PASS,institutional_candidate_construction,true,2
6afb766af01a9e5dff54c50f1f716e73ec4e8596da20940ff32ff09d625c4138,81e3bdc8e6ac9607d026ecdf24dbbd3da485b9b1d42f8e67a43c83e2a3e08944,1,SIGNED_RECORDED_COMPLETE_STACK,PAYLOAD_HASH_BOUND,PASS,recorded_payload,true,8
6afb766af01a9e5dff54c50f1f716e73ec4e8596da20940ff32ff09d625c4138,81e3bdc8e6ac9607d026ecdf24dbbd3da485b9b1d42f8e67a43c83e2a3e08944,1,SIGNED_RECORDED_COMPLETE_STACK,RECOMMENDATION_GENERATED,PASS,recommendation,true,1
6afb766af01a9e5dff54c50f1f716e73ec4e8596da20940ff32ff09d625c4138,81e3bdc8e6ac9607d026ecdf24dbbd3da485b9b1d42f8e67a43c83e2a3e08944,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,institutional_base_decision,true,3
6afb766af01a9e5dff54c50f1f716e73ec4e8596da20940ff32ff09d625c4138,81e3bdc8e6ac9607d026ecdf24dbbd3da485b9b1d42f8e67a43c83e2a3e08944,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,terminal_institutional_decision,true,6
